"cluster_label","Splunk_Roles","Splunk_Instance",title,app,coldPath,"coldPath.maxDataSizeMB",coldToFrozenDir,coldToFrozenScript,currentDBSizeMB,"datamodel_summary_size",datatype,frozenTimePeriodInSecs,homePath,"homePath.maxDataSizeMB",isInternal,maxDataSize,maxGlobalDataSizeMB,maxGlobalRawDataSizeMB,maxHotBuckets,maxHotIdleSecs,maxHotSpanSecs,maxTime,maxTotalDataSizeMB,maxWarmDBCount,minHotIdleSecsBeforeForceRoll,minTime,quarantineFutureSecs,quarantinePastSecs,repFactor,rotatePeriodInSecs,thawedPath,throttleCheckPeriod,totalEventCount,"total_bucket_count","total_capacity","total_raw_size",tstatsHomePath
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","af-cms-drugs","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","af-cms-excl","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","af-cms-paydocs","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","af-cms-summ","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","af_wt_bank_trans","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","af_wt_fraud_notables","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","af_wt_sum_acct_profile_target_acct","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","af_wt_sum_fds_stats","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",apache,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",apic,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",appmsad,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,"0.000",event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"2020-02-19T23:30:30+0000",4294967295,300,auto,"2020-02-13T10:25:39+0000",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,192,3,"4294967295.000","0.132","volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",appmsadmon,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",8,"0.000",event,31536000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"2020-02-20T22:01:29+0000",4294967295,300,auto,"2020-02-09T19:06:12+0000",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,5728,11,"4294967295.000","30.922","volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",appmsadsec,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",apps,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",assets,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","audit_summary","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,"0.000",event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"2020-02-24T05:01:02+0000",4294967295,300,auto,"2020-02-14T05:02:31+0000",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,3465,"7.666666666666667","4294967295.000","0.559","volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","audit_summary2","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",autopatch,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",aws,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","aws-cloudtrail","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","aws-config","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","aws-data","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","aws_anomaly_detection","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","aws_topology_daily_snapshot","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","aws_topology_history","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","aws_topology_monthly_snapshot","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","aws_topology_playback","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","aws_vpc_flow_logs","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",bro,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","cim_modactions","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",68,"0.000",event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"2020-02-24T05:10:13+0000",4294967295,300,auto,"2020-02-06T14:50:04+0000",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,1675856,"21.666666666666668","4294967295.000","321.699","volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","cim_summary","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",cloudplatform,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",conf,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",dap,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",datascience,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",dbx,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",dlp,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",dns,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",edge,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",elasticsearch,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","endpoint_summary","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",5,"0.000",event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"2020-02-24T04:50:03+0000",4294967295,300,auto,"2020-02-12T07:50:10+0000",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,10333,"20.333333333333332","4294967295.000","1.522","volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","endpoint_summary2","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",epav,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",16392,"1277.798",event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"2020-02-24T05:42:24+0000",4294967295,300,auto,"2020-02-09T04:52:41+0000",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,80758637,"60.333333333333336","4294967295.000","23550.949","volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",epintel,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",estreamer,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",eventgen,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",11866,"2933.793",event,7776000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"2020-02-24T05:42:17+0000",4294967295,300,auto,"2020-02-11T00:07:34+0000",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,118369674,42,"4294967295.000","14346.513","volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",firedalerts,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",ftp,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",fweb,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",gemfire,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3","gia_summary","org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
"org_idx_cluster1","PROD-IDXC-1|indexer","IDX1|IDX2|IDX3",greenplum,"org_all_indexes","volume:cold1/$_index_name/colddb",0,"","",3,,event,2592000,"volume:hot1/$_index_name/db",0,0,auto,0,0,10,0,604801,"",4294967295,300,auto,"",604801,604801,auto,60,"$SPLUNK_DB/$_index_name/thaweddb",15,0,,,,"volume:_splunk_summaries/$_index_name/datamodel_summary"
