"Splunk_Instance","Splunk_Roles",app,author,stanza,attribute,value,sharing,updated
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"MSAD:NT6:DNS","FIELDALIAS-vendor_query_type","opcode AS vendor_query_type",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:CPU","FIELDALIAS-cpu_instance","instance AS cpu_instance",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:CPU","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:CPU","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:CPUTime","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:CPUTime","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:FreeDiskSpace","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:FreeDiskSpace","FIELDALIAS-mount_for_perfmon_freediskspace","instance AS mount",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:FreeDiskSpace","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:LocalNetwork","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:LocalNetwork","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:LogicalDisk","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:LogicalDisk","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:Memory","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:Memory","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:Network","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:Network","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:Network_Interface","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:Network_Interface","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:PhysicalDisk","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:PhysicalDisk","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:Process","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:Process","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:Processor","FIELDALIAS-cpu_instance","instance AS cpu_instance",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:Processor","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:Processor","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:ProcessorInformation","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:ProcessorInformation","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:System","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Perfmon:System","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:CPU","FIELDALIAS-cpu_instance","instance AS cpu_instance",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:CPU","FIELDALIAS-cpu_load_percent","%_Processor_Time AS cpu_load_percent",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:CPU","FIELDALIAS-cpu_user_percent","%_User_Time AS cpu_user_percent",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:CPU","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:CPU","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:CPU","FIELDALIAS-windows_cpu_load_percent","%_Processor_Time AS windows_cpu_load_percent",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:LogicalDisk","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:LogicalDisk","FIELDALIAS-read_latency","Avg._Disk_sec/Read as read_latency",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:LogicalDisk","FIELDALIAS-read_ops","Disk_Reads/sec as read_ops",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:LogicalDisk","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:LogicalDisk","FIELDALIAS-storage_free_percent","%_Free_Space as storage_free_percent",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:LogicalDisk","FIELDALIAS-total_ops","Disk_Transfers/sec as total_ops",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:LogicalDisk","FIELDALIAS-write_latency","Avg._Disk_sec/Write as write_latency",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:LogicalDisk","FIELDALIAS-write_ops","Disk_Writes/sec as write_ops",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Memory","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Memory","FIELDALIAS-mem_committed","Committed_Bytes as mem_committed",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Memory","FIELDALIAS-mem_free","Available_MBytes as mem_free",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Memory","FIELDALIAS-mem_page_in","Pages_Input/sec as mem_page_in",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Memory","FIELDALIAS-mem_page_ops","Pages/sec as mem_page_ops",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Memory","FIELDALIAS-mem_page_out","Pages_Output/sec as mem_page_out",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Memory","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Memory","FIELDALIAS-swap_free","Pool_Nonpaged_Bytes as swap_free",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Memory","FIELDALIAS-swap_used","Pool_Paged_Bytes as swap_used",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Memory","FIELDALIAS-windows_mem_free","Available_MBytes as windows_mem_free",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Network","FIELDALIAS-bytes","Bytes_Total/sec as bytes",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Network","FIELDALIAS-bytes_in","Bytes_Received/sec as bytes_in",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Network","FIELDALIAS-bytes_out","Bytes_Sent/sec as bytes_out",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Network","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Network","FIELDALIAS-packets","Packets/sec as packets",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Network","FIELDALIAS-packets_in","Packets_Received/sec as packets_in",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Network","FIELDALIAS-packets_out","Packets_Sent/sec as packets_out",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Network","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Network","FIELDALIAS-thruput","Bytes_Total/sec as thruput",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Network","FIELDALIAS-thruput_max","Current_Bandwidth as thruput_max",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Network_Interface","FIELDALIAS-bytes","Bytes_Total/sec as bytes",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Network_Interface","FIELDALIAS-bytes_in","Bytes_Received/sec as bytes_in",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Network_Interface","FIELDALIAS-bytes_out","Bytes_Sent/sec as bytes_out",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Network_Interface","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Network_Interface","FIELDALIAS-packets","Packets/sec as packets",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Network_Interface","FIELDALIAS-packets_in","Packets_Received/sec as packets_in",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Network_Interface","FIELDALIAS-packets_out","Packets_Sent/sec as packets_out",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Network_Interface","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Network_Interface","FIELDALIAS-thruput","Bytes_Total/sec as thruput",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Network_Interface","FIELDALIAS-thruput_max","Current_Bandwidth as thruput_max",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:PhysicalDisk","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:PhysicalDisk","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Process","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Process","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Processor","FIELDALIAS-cpu_instance","instance AS cpu_instance",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Processor","FIELDALIAS-cpu_load_percent","%_Processor_Time AS cpu_load_percent",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Processor","FIELDALIAS-cpu_user_percent","%_User_Time AS cpu_user_percent",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Processor","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Processor","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:Processor","FIELDALIAS-windows_cpu_load_percent","%_Processor_Time AS windows_cpu_load_percent",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:ProcessorInformation","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:ProcessorInformation","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:System","FIELDALIAS-dest_for_perfmon","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:System","FIELDALIAS-src_for_perfmon","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:System","FIELDALIAS-system_threads_count","Threads as system_threads_count",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"PerfmonMk:System","FIELDALIAS-wait_threads_count","Processor_Queue_Length as wait_threads_count",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Script:ListeningPorts","FIELDALIAS-dest_for_listeningports","dest_ip AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"Script:ListeningPorts","FIELDALIAS-process_id_for_listeningports","pid AS process_id",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:CPUTime","FIELDALIAS-cpu_instance","Name AS cpu_instance",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:CPUTime","FIELDALIAS-cpu_load_percent","PercentProcessorTime AS cpu_load_percent",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:CPUTime","FIELDALIAS-cpu_user_percent","PercentUserTime AS cpu_user_percent",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:CPUTime","FIELDALIAS-dest_for_wmi","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:CPUTime","FIELDALIAS-pid_for_wmi","IDProcess AS pid",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:CPUTime","FIELDALIAS-src_for_wmi","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:ComputerSystem","FIELDALIAS-dest_for_wmi","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:ComputerSystem","FIELDALIAS-mem_for_wmi_computersystem","TotalPhysicalMemory AS mem",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:ComputerSystem","FIELDALIAS-pid_for_wmi","IDProcess AS pid",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:ComputerSystem","FIELDALIAS-src_for_wmi","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:FreeDiskSpace","FIELDALIAS-dest_for_wmi","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:FreeDiskSpace","FIELDALIAS-mount_for_wmi_freediskspace","Name AS mount",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:FreeDiskSpace","FIELDALIAS-pid_for_wmi","IDProcess AS pid",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:FreeDiskSpace","FIELDALIAS-src_for_wmi","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:FreeDiskSpace","FIELDALIAS-storage_free_percent","PercentFreeSpace AS storage_free_percent",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:InstalledUpdates","FIELDALIAS-dest_for_wmi","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:InstalledUpdates","FIELDALIAS-pid_for_wmi","IDProcess AS pid",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:InstalledUpdates","FIELDALIAS-signature_id_for_installedupdates","HotFixID AS signature_id",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:InstalledUpdates","FIELDALIAS-src_for_wmi","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:LocalNetwork","FIELDALIAS-bytestotalpersec_as_thruput","BytesTotalPersec AS thruput",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:LocalNetwork","FIELDALIAS-currentbandwidth_as_thruput_max","CurrentBandwidth AS thruput_max",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:LocalNetwork","FIELDALIAS-dest_for_wmi","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:LocalNetwork","FIELDALIAS-pid_for_wmi","IDProcess AS pid",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:LocalNetwork","FIELDALIAS-src_for_wmi","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:LocalPhysicalDisk","FIELDALIAS-dest_for_wmi","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:LocalPhysicalDisk","FIELDALIAS-src_for_wmi","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:LocalProcesses","FIELDALIAS-cpu_load_percent_for_wmi_localprocesses","PercentProcessorTime AS cpu_load_percent",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:LocalProcesses","FIELDALIAS-dest_for_wmi","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:LocalProcesses","FIELDALIAS-mem_used_for_wmi_localprocesses","PrivateBytes AS UsedBytes",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:LocalProcesses","FIELDALIAS-pid_for_wmi","IDProcess AS pid",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:LocalProcesses","FIELDALIAS-process_for_wmi_localprocesses","Name AS app,Name AS process",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:LocalProcesses","FIELDALIAS-process_id_for_wmi_localprocesses","IDProcess AS process_id",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:LocalProcesses","FIELDALIAS-src_for_wmi","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:LogicalDisk","FIELDALIAS-dest_for_wmi","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:LogicalDisk","FIELDALIAS-for_wmi_latency","AvgDisksecPerTransfer AS latency",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:LogicalDisk","FIELDALIAS-for_wmi_read_latency","AvgDisksecPerRead AS read_latency",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:LogicalDisk","FIELDALIAS-for_wmi_read_ops","DiskReadsPersec AS read_ops",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:LogicalDisk","FIELDALIAS-for_wmi_write_latency","AvgDisksecPerWrite AS write_latency",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:LogicalDisk","FIELDALIAS-for_wmi_write_ops","DiskWritesPersec AS write_ops",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:LogicalDisk","FIELDALIAS-pid_for_wmi","IDProcess AS pid",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:LogicalDisk","FIELDALIAS-src_for_wmi","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:Memory","FIELDALIAS-dest_for_wmi","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:Memory","FIELDALIAS-mem_committed_for_wmi_memory","CommittedBytes AS mem_committed",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:Memory","FIELDALIAS-mem_page_in","PagesInputPersec AS mem_page_in",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:Memory","FIELDALIAS-mem_page_ops","PagesPersec AS mem_page_ops",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:Memory","FIELDALIAS-mem_page_out","PagesOutputPersec AS mem_page_out",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:Memory","FIELDALIAS-pid_for_wmi","IDProcess AS pid",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:Memory","FIELDALIAS-src_for_wmi","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:Memory","FIELDALIAS-swap_free","PoolNonpagedBytes AS swap_free",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:Memory","FIELDALIAS-swap_used","PoolPagedBytes AS swap_used",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:ScheduledJobs","FIELDALIAS-dest_for_wmi","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:ScheduledJobs","FIELDALIAS-src_for_wmi","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:Service","FIELDALIAS-dest_for_wmi","host AS dest",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:Service","FIELDALIAS-file_path_for_wmi_service","PathName AS file_path",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:Service","FIELDALIAS-pid_for_wmi","IDProcess AS pid",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:Service","FIELDALIAS-service_for_wmi_service","Name AS app,Name AS service",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:Service","FIELDALIAS-src_for_wmi","host AS src",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:Service","FIELDALIAS-start_mode_for_wmi_service","StartMode AS start_mode",global,"1970-01-01T00:00:00+00:00"
ES,"PROD-ES-1|search_head","Splunk_TA_windows",system,"WMI:Service","FIELDALIAS-status_for_wmi_service","State AS status",global,"1970-01-01T00:00:00+00:00"
