"Splunk_Instance","Splunk_Roles",title,"auto_summary_perc","base_max_searches","max_rt_search_multiplier","max_searches_per_cpu","max_searches_perc","max_auto_summary_searches","max_hist_scheduled_searches","max_hist_searches","max_rt_scheduled_searches","max_rt_searches"
CM1,"PROD-CM-1 cluster_master search_head",scheduler,50,,,,50,2,4,8,4,8
CM1,"PROD-CM-1 cluster_master search_head",search,,6,1,1,,2,4,8,4,8
ES,"PROD-ES-1 search_head",scheduler,50,,,,50,3,7,14,7,14
ES,"PROD-ES-1 search_head",search,,6,1,1,,3,7,14,7,14
GMC,"PROD-GMC-1 search_head",scheduler,25,,,,75,2,10,14,10,14
GMC,"PROD-GMC-1 search_head",search,,6,1,1,,2,10,14,10,14
